<DATE>,<OPEN>,<HIGH>,<LOW>,<CLOSE>
9/11/2018,111520,111570,111490,111530
9/11/2018,111540,111630,111530,111630
9/11/2018,111630,111630,111540,111540
9/11/2018,111550,111650,111530,111630
9/11/2018,111610,111620,111520,111540
9/11/2018,111550,111560,111510,111520
9/11/2018,111510,111540,111470,111490
9/11/2018,111500,111520,111480,111490
9/11/2018,111490,111510,111440,111500
9/11/2018,111500,111510,111420,111440
9/11/2018,111440,111490,111420,111450
9/11/2018,111460,111520,111460,111490
9/11/2018,111500,111500,111460,111470
9/11/2018,111460,111470,111420,111420
9/11/2018,111420,111430,111350,111380
9/11/2018,111390,111430,111380,111430
9/11/2018,111430,111440,111390,111410
9/11/2018,111400,111490,111400,111480
9/11/2018,111480,111560,111470,111520
9/11/2018,111530,111550,111510,111520
9/11/2018,111520,111580,111510,111560
9/11/2018,111560,111580,111540,111570
9/11/2018,111570,111570,111540,111550
9/11/2018,111550,111570,111530,111530
9/11/2018,111540,111550,111490,111510
9/11/2018,111500,111520,111470,111520
9/11/2018,111530,111540,111510,111530
9/11/2018,111530,111530,111500,111520
9/11/2018,111520,111550,111510,111540
9/11/2018,111540,111550,111450,111480
9/11/2018,111480,111510,111460,111500
9/11/2018,111480,111480,111440,111470
9/11/2018,111460,111460,111410,111420
9/11/2018,111430,111450,111370,111400
9/11/2018,111400,111460,111390,111440
9/11/2018,111450,111500,111430,111490
9/11/2018,111490,111500,111450,111480
9/11/2018,111480,111500,111470,111480
9/11/2018,111490,111510,111480,111510
9/11/2018,111510,111530,111490,111530
9/11/2018,111520,111730,111520,111710
9/11/2018,111720,111730,111630,111630
9/11/2018,111640,111700,111630,111680
9/11/2018,111690,111800,111680,111740
9/11/2018,111750,111760,111700,111710
9/11/2018,111720,111750,111670,111670
9/11/2018,111690,111690,111570,111620
9/11/2018,111630,111680,111610,111670
9/11/2018,111670,111680,111620,111640
9/11/2018,111630,111630,111540,111580
9/11/2018,111580,111620,111520,111580
9/11/2018,111590,111610,111500,111510
9/11/2018,111510,111600,111500,111600
9/11/2018,111600,111640,111590,111640
9/11/2018,111630,111640,111560,111560
9/11/2018,111560,111560,111470,111480
9/11/2018,111480,111510,111430,111490
9/11/2018,111500,111570,111490,111510
9/11/2018,111510,111550,111490,111550
9/11/2018,111550,111560,111380,111420
9/11/2018,111430,111500,111390,111480
9/11/2018,111470,111510,111430,111490
9/11/2018,111490,111640,111480,111640
9/11/2018,111640,111780,111630,111750
9/11/2018,111760,111760,111680,111680
9/11/2018,111680,111730,111660,111690
9/11/2018,111690,111710,111630,111640
9/11/2018,111650,111710,111640,111700
9/11/2018,111700,111790,111670,111770
9/11/2018,111780,111840,111750,111770
9/11/2018,111770,111780,111680,111720
9/11/2018,111740,111740,111680,111700
9/11/2018,111710,111730,111680,111710
9/11/2018,111700,111710,111600,111620
9/11/2018,111620,111680,111610,111680
9/11/2018,111680,111700,111630,111630
9/11/2018,111620,111640,111540,111580
9/11/2018,111570,111610,111560,111580
9/11/2018,111590,111590,111530,111580
9/11/2018,111580,111580,111510,111540
9/11/2018,111550,111560,111510,111510
9/11/2018,111510,111560,111500,111550
9/11/2018,111550,111590,111520,111590
9/11/2018,111590,111610,111490,111520
9/11/2018,111530,111570,111520,111540
9/11/2018,111530,111530,111500,111510
9/11/2018,111510,111560,111500,111540
9/11/2018,111550,111580,111540,111570
9/11/2018,111570,111570,111460,111480
9/11/2018,111480,111500,111350,111400
9/11/2018,111400,111430,111330,111390
9/11/2018,111380,111480,111280,111410
9/11/2018,111420,111570,111400,111500
9/11/2018,111500,111510,111430,111460
9/11/2018,111460,111460,111400,111460
9/11/2018,111460,111520,111430,111430
9/11/2018,111430,111430,111360,111380
9/11/2018,111380,111410,111330,111390
9/11/2018,111370,111420,111270,111310
9/11/2018,111310,111360,111300,111330
9/11/2018,111320,111360,111290,111300
9/11/2018,111290,111370,111270,111360
9/11/2018,111360,111370,111180,111230
